Date,^GSPC,^IXIC,^GDAXI,^FTSE
2009-10-21,1081.4000244140625,2150.72998046875,5833.490234375,5257.89990234375
2009-10-22,1092.9100341796875,2165.2900390625,5762.93017578125,5207.39990234375
2009-10-23,1079.5999755859375,2154.469970703125,5740.25,5242.60009765625
2009-10-26,1066.949951171875,2141.85009765625,5642.16015625,5191.7001953125
2009-10-27,1063.4100341796875,2116.090087890625,5635.02001953125,5201.0
2009-10-28,1042.6300048828125,2059.610107421875,5496.27001953125,5080.39990234375
2009-10-29,1066.1099853515625,2097.550048828125,5587.4501953125,5137.7001953125
2009-10-30,1036.18994140625,2045.1099853515625,5414.9599609375,5044.60009765625
2009-11-02,1042.8800048828125,2049.199951171875,5430.81982421875,5104.5
2009-11-03,1045.4100341796875,2057.320068359375,5353.35009765625,5037.2001953125
2009-11-04,1046.5,2055.52001953125,5444.22998046875,5107.89990234375
2009-11-05,1066.6300048828125,2105.320068359375,5480.919921875,5125.60009765625
2009-11-06,1069.300048828125,2112.43994140625,5488.25,5142.7001953125
2009-11-09,1093.0799560546875,2154.06005859375,5619.72021484375,5235.2001953125
2009-11-10,1093.010009765625,2151.080078125,5613.2001953125,5230.60009765625
2009-11-11,1098.510009765625,2166.89990234375,5668.35009765625,5266.7998046875
2009-11-12,1087.239990234375,2149.02001953125,5663.9599609375,5276.5
2009-11-13,1093.47998046875,2167.8798828125,5686.830078125,5296.39990234375
2009-11-16,1109.300048828125,2197.85009765625,5804.81982421875,5382.7001953125
2009-11-17,1110.3199462890625,2203.780029296875,5778.43017578125,5345.89990234375
2009-11-18,1109.800048828125,2193.139892578125,5787.60986328125,5342.10009765625
2009-11-19,1094.9000244140625,2156.820068359375,5702.18017578125,5267.7001953125
2009-11-20,1091.3800048828125,2146.0400390625,5663.14990234375,5251.39990234375
2009-11-23,1106.239990234375,2176.010009765625,5801.47998046875,5355.5
2009-11-24,1105.6500244140625,2169.179931640625,5769.31005859375,5324.0
2009-11-25,1110.6300048828125,2176.050048828125,5803.02001953125,5364.7998046875
2009-11-27,1091.489990234375,2138.43994140625,5685.60986328125,5245.7001953125
2009-11-30,1095.6300048828125,2144.60009765625,5625.9501953125,5190.7001953125
2009-12-01,1108.8599853515625,2175.81005859375,5776.60986328125,5312.2001953125
2009-12-02,1109.239990234375,2185.030029296875,5781.68017578125,5327.39990234375
2009-12-03,1099.9200439453125,2173.139892578125,5770.35009765625,5313.0
2009-12-04,1105.97998046875,2194.35009765625,5817.64990234375,5322.39990234375
2009-12-07,1103.25,2189.610107421875,5784.75,5310.7001953125
2009-12-08,1091.93994140625,2172.989990234375,5688.580078125,5223.10009765625
2009-12-09,1095.949951171875,2183.72998046875,5647.83984375,5203.89990234375
2009-12-10,1102.3499755859375,2190.860107421875,5709.02001953125,5244.39990234375
2009-12-11,1106.4100341796875,2190.31005859375,5756.2900390625,5261.60009765625
2009-12-14,1114.1099853515625,2212.10009765625,5802.259765625,5315.2998046875
2009-12-15,1107.9300537109375,2201.050048828125,5811.33984375,5285.7998046875
2009-12-16,1109.1800537109375,2206.909912109375,5903.43017578125,5320.2998046875
2009-12-17,1096.0799560546875,2180.050048828125,5844.43994140625,5217.60009765625
2009-12-18,1102.469970703125,2211.68994140625,5831.2099609375,5196.7998046875
2009-12-21,1114.050048828125,2237.659912109375,5930.52978515625,5294.0
2009-12-22,1118.02001953125,2252.669921875,5945.68994140625,5328.7001953125
2009-12-23,1120.5899658203125,2269.639892578125,5957.43994140625,5372.39990234375
2009-12-24,1126.47998046875,2285.68994140625,,
2009-12-28,1127.780029296875,2291.080078125,6002.919921875,
2009-12-29,1126.199951171875,2288.39990234375,6011.5498046875,5437.60009765625
2009-12-30,1126.4200439453125,2291.280029296875,5957.43017578125,5397.89990234375
2009-12-31,1115.0999755859375,2269.14990234375,,
2010-01-04,1132.989990234375,2308.419921875,6048.2998046875,5500.2998046875
2010-01-05,1136.52001953125,2308.7099609375,6031.85986328125,5522.5
2010-01-06,1137.1400146484375,2301.090087890625,6034.330078125,5530.0
2010-01-07,1141.68994140625,2300.050048828125,6019.35986328125,5526.7001953125
2010-01-08,1144.97998046875,2317.169921875,6037.60986328125,5534.2001953125
2010-01-11,1146.97998046875,2312.409912109375,6040.5,5538.10009765625
2010-01-12,1136.219970703125,2282.31005859375,5943.0,5498.7001953125
2010-01-13,1145.6800537109375,2307.89990234375,5963.14013671875,5473.5
2010-01-14,1148.4599609375,2316.739990234375,5988.8798828125,5498.2001953125
2010-01-15,1136.030029296875,2287.989990234375,5875.97021484375,5455.39990234375
2010-01-19,1150.22998046875,2320.39990234375,5976.47998046875,5513.10009765625
2010-01-20,1138.0400390625,2291.25,5851.52978515625,5420.7998046875
2010-01-21,1116.47998046875,2265.699951171875,5746.97021484375,5335.10009765625
2010-01-22,1091.760009765625,2205.2900390625,5695.31982421875,5303.0
2010-01-25,1096.780029296875,2210.800048828125,5631.3701171875,5260.2998046875
2010-01-26,1092.1700439453125,2203.72998046875,5668.93017578125,5276.89990234375
2010-01-27,1097.5,2221.409912109375,5643.2001953125,5217.5
2010-01-28,1084.530029296875,2179.0,5540.330078125,5145.7001953125
2010-01-29,1073.8699951171875,2147.35009765625,5608.7900390625,5188.5
2010-02-01,1089.18994140625,2171.199951171875,5654.47998046875,5247.39990234375
2010-02-02,1103.3199462890625,2190.06005859375,5709.66015625,5283.2998046875
2010-02-03,1097.280029296875,2190.909912109375,5672.08984375,5253.2001953125
2010-02-04,1063.1099853515625,2125.429931640625,5533.240234375,5139.2998046875
2010-02-05,1066.18994140625,2141.1201171875,5434.33984375,5060.89990234375
2010-02-08,1056.739990234375,2126.050048828125,5484.85009765625,5092.2998046875
2010-02-09,1070.52001953125,2150.8701171875,5498.259765625,5111.7998046875
2010-02-10,1068.1300048828125,2147.8701171875,5536.3701171875,5132.0
2010-02-11,1078.469970703125,2177.409912109375,5503.93017578125,5161.5
2010-02-12,1075.510009765625,2183.530029296875,5500.39013671875,5142.5
2010-02-16,1094.8699951171875,2214.18994140625,5592.1201171875,5244.10009765625
2010-02-17,1099.510009765625,2226.2900390625,5648.33984375,5276.60009765625
2010-02-18,1106.75,2241.7099609375,5680.41015625,5325.10009765625
2010-02-19,1109.1700439453125,2243.8701171875,5722.0498046875,5358.2001953125
2010-02-22,1108.010009765625,2242.030029296875,5688.43994140625,5352.10009765625
2010-02-23,1094.5999755859375,2213.43994140625,5604.06982421875,5315.10009765625
2010-02-24,1105.239990234375,2235.89990234375,5615.509765625,5342.89990234375
2010-02-25,1102.93994140625,2234.219970703125,5532.330078125,5278.2001953125
2010-02-26,1104.489990234375,2238.260009765625,5598.4599609375,5354.5
2010-03-01,1115.7099609375,2273.570068359375,5713.509765625,5405.89990234375
2010-03-02,1118.31005859375,2280.7900390625,5776.56005859375,5484.10009765625
2010-03-03,1118.7900390625,2280.679931640625,5817.8798828125,5533.2001953125
2010-03-04,1122.969970703125,2292.31005859375,5795.31982421875,5527.2001953125
2010-03-05,1138.699951171875,2326.35009765625,5877.35986328125,5599.7998046875
2010-03-08,1138.5,2332.2099609375,5875.91015625,5606.7001953125
2010-03-09,1140.449951171875,2340.679931640625,5885.89013671875,5602.2998046875
2010-03-10,1145.6099853515625,2358.949951171875,5936.72021484375,5640.60009765625
2010-03-11,1150.239990234375,2368.4599609375,5928.6298828125,5617.2998046875
2010-03-12,1149.989990234375,2367.659912109375,5945.10986328125,5625.7001953125
2010-03-15,1150.510009765625,2362.2099609375,5903.56005859375,5593.89990234375
2010-03-16,1159.4599609375,2378.010009765625,5970.990234375,5620.39990234375
2010-03-17,1166.2099609375,2389.090087890625,6024.27978515625,5644.60009765625
2010-03-18,1165.8299560546875,2391.280029296875,6012.31005859375,5642.60009765625
2010-03-19,1159.9000244140625,2374.409912109375,5982.43017578125,5650.10009765625
2010-03-22,1165.81005859375,2395.39990234375,5987.5,5644.5
2010-03-23,1174.1700439453125,2415.239990234375,6017.27001953125,5673.60009765625
2010-03-24,1167.719970703125,2398.760009765625,6039.0,5677.89990234375
2010-03-25,1165.72998046875,2397.409912109375,6132.9501953125,5727.7001953125
2010-03-26,1166.5899658203125,2395.1298828125,6120.0498046875,5703.0
2010-03-29,1173.219970703125,2404.360107421875,6156.85009765625,5710.7001953125
2010-03-30,1173.27001953125,2410.68994140625,6142.4501953125,5672.2998046875
2010-03-31,1169.4300537109375,2397.9599609375,6153.5498046875,5679.60009765625
2010-04-01,1178.0999755859375,2402.580078125,6235.56005859375,5744.89990234375
2010-04-05,1187.43994140625,2429.530029296875,,
2010-04-06,1189.43994140625,2436.81005859375,6252.2099609375,5780.39990234375
2010-04-07,1182.449951171875,2431.159912109375,6222.41015625,5762.10009765625
2010-04-08,1186.43994140625,2436.81005859375,6171.830078125,5712.7001953125
2010-04-09,1194.3699951171875,2454.050048828125,6249.7001953125,5771.0
2010-04-12,1196.47998046875,2457.8701171875,6250.68994140625,5777.7001953125
2010-04-13,1197.300048828125,2465.989990234375,6230.830078125,5761.7001953125
2010-04-14,1210.6500244140625,2504.860107421875,6278.39990234375,5796.2998046875
2010-04-15,1211.6700439453125,2515.68994140625,6291.4501953125,5825.0
2010-04-16,1192.1300048828125,2481.260009765625,6180.89990234375,5744.0
2010-04-19,1197.52001953125,2480.110107421875,6162.43994140625,5727.89990234375
2010-04-20,1207.1700439453125,2500.31005859375,6264.22998046875,5783.7001953125
2010-04-21,1205.93994140625,2504.610107421875,6230.3798828125,5723.39990234375
2010-04-22,1208.6700439453125,2519.070068359375,6168.72021484375,5665.2998046875
2010-04-23,1217.280029296875,2530.14990234375,6259.52978515625,5723.7001953125
2010-04-26,1212.050048828125,2522.949951171875,6332.10009765625,5753.89990234375
2010-04-27,1183.7099609375,2471.469970703125,6159.509765625,5603.5
2010-04-28,1191.3599853515625,2471.72998046875,6084.33984375,5586.60009765625
2010-04-29,1206.780029296875,2511.919921875,6144.91015625,5617.7998046875
2010-04-30,1186.68994140625,2461.18994140625,6135.7001953125,5553.2998046875
2010-05-03,1202.260009765625,2498.739990234375,6166.919921875,
2010-05-04,1173.5999755859375,2424.25,6006.85986328125,5411.10009765625
2010-05-05,1165.8699951171875,2402.2900390625,5958.4501953125,5341.89990234375
2010-05-06,1128.1500244140625,2319.639892578125,5908.259765625,5261.0
2010-05-07,1110.8800048828125,2265.639892578125,5715.08984375,5123.0
2010-05-10,1159.72998046875,2374.669921875,6017.91015625,5387.39990234375
2010-05-11,1155.7900390625,2375.31005859375,6037.7099609375,5334.2001953125
2010-05-12,1171.6700439453125,2425.02001953125,6183.490234375,5383.5
2010-05-13,1157.43994140625,2394.360107421875,6251.97021484375,5433.7001953125
2010-05-14,1135.6800537109375,2346.85009765625,6056.7099609375,5262.89990234375
2010-05-17,1136.93994140625,2354.22998046875,6066.919921875,5262.5
2010-05-18,1120.800048828125,2317.260009765625,6155.93017578125,5307.2998046875
2010-05-19,1115.050048828125,2298.3701171875,5988.669921875,5158.10009765625
2010-05-20,1071.5899658203125,2204.010009765625,5867.8798828125,5073.10009765625
2010-05-21,1087.68994140625,2229.0400390625,5829.25,5062.89990234375
2010-05-24,1073.6500244140625,2213.550048828125,5805.68017578125,5069.60009765625
2010-05-25,1074.030029296875,2210.949951171875,5670.0400390625,4940.7001953125
2010-05-26,1067.949951171875,2195.8798828125,5758.02001953125,5038.10009765625
2010-05-27,1103.06005859375,2277.679931640625,5937.14013671875,5195.2001953125
2010-05-28,1089.4100341796875,2257.0400390625,5946.18017578125,5188.39990234375
2010-06-01,1070.7099609375,2222.330078125,5981.27001953125,5163.2998046875
2010-06-02,1098.3800048828125,2281.070068359375,5981.2001953125,5151.2998046875
2010-06-03,1102.8299560546875,2303.030029296875,6054.6298828125,5211.2001953125
2010-06-04,1064.8800048828125,2219.169921875,5938.8798828125,5126.0
2010-06-07,1050.469970703125,2173.89990234375,5904.9501953125,5069.10009765625
2010-06-08,1062.0,2170.570068359375,5868.5498046875,5028.2001953125
2010-06-09,1055.68994140625,2158.85009765625,5984.75,5085.89990234375
2010-06-10,1086.8399658203125,2218.7099609375,6056.58984375,5132.5
2010-06-11,1091.5999755859375,2243.60009765625,6047.830078125,5163.7001953125
2010-06-14,1089.6300048828125,2243.9599609375,6125.0,5202.10009765625
2010-06-15,1115.22998046875,2305.8798828125,6175.0498046875,5217.7998046875
2010-06-16,1114.6099853515625,2305.929931640625,6190.91015625,5237.89990234375
2010-06-17,1116.0400390625,2307.159912109375,6223.5400390625,5253.89990234375
2010-06-18,1117.510009765625,2309.800048828125,6216.97998046875,5250.7998046875
2010-06-21,1113.199951171875,2289.090087890625,6292.97021484375,5299.10009765625
2010-06-22,1095.31005859375,2261.800048828125,6269.0400390625,5247.0
